,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
133,Injustice,Matt Peters,Ernie Altbacker,"['Injustice: Gods Among Us by NetherRealm Studios', 'Injustice: Gods Among Us: Year One by Tom Taylor']","['Rick Morales', 'Jim Krieg']","['Justin Hartley', 'Anson Mount']",,Criag Paulsen,Robert J. Kral,,Warner Bros. Home Entertainment,"['October 19, 2021']",78 minutes,English,,,2021-10-19,2021-10-19,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']",,,,,,
134,Catwoman: Hunted,Shinsuke Terasawa,Greg Weisman,"['Bill Finger', 'Bob Kane']","['Ethan Spaulding', 'Colin A.B.V. Lewis']","['Elizabeth Gillies', 'Stephanie Beatriz']",,Robert Ehrenreich,Yutaka Yamada,,Warner Bros. Home Entertainment,"['February 8, 2022']",78 minutes,English,,,2022-02-08,2022-02-08,,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'OLM Team Inoue (animation services)']",,"['United States', 'Japan']",,,,
135,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,"['Matt Peters', 'Katie Rice']",Jase Ricci,"['Characters appearing in comic books published', 'by', 'DC']","['Jeff Curtis', 'James Ricci', 'James Tucker (supervising producer)', 'Sam Register', '(executive producer)']","['Kimberly Brooks', 'Grey Griffin', 'Tara Strong', 'Nicole Sullivan', 'Myrna Velasco', 'Kari Wahlgren', 'Greg Cipes', 'Hynden Walch', 'Scott Menville', 'Khary Payton', 'Missi Pyle']",,Michael G. Buck,Michael Gatt,,Warner Bros. Home Entertainment,,79 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['May 24, 2022 (DVD & Blu-ray)', 'May 28, 2022 (Cartoon Network)']",,,,,
136,Green Lantern: Beware My Power,Jeff Wamester,"['John Semper', 'Ernie Altbacker']","['Green Lantern', 'by', ""Dennis O'Neil"", 'Neal Adams']","['Sam Register', 'Jim Krieg']","['Aldis Hodge', 'Jimmi Simpson']",,Bruce A. King,Kevin Riepl,,Warner Bros. Home Entertainment,,84 minutes,English,,,,,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment']","['July 22, 2022 ( SDCC )', 'July 26, 2022']",,,,,
137,Batman and Superman: Battle of the Super Sons,Matt Peters,,"['Bob Haney', 'Dick Dillin']","['Rick Morales', 'Jim Krieg']","['Jack Dylan Grazer', 'Jack Griffo']",,,"['Kristopher Carter', 'Michael McCuistion', 'Lolita Ritmanis']",,Warner Bros. Home Entertainment,,79 minutes,English,,,,,United States,,,Jeremy Adams,,"['Warner Bros. Animation', 'DC Entertainment', 'Studio Mir (animation services)']","['October 7, 2022 ( NYCC )', 'October 18, 2022 (Video)']",,,,,
138,Legion of Super-Heroes,Jeff Wamester,Josie Campbell,"['Otto Binder', 'Al Plastino']",Butch Lukic,"['Meg Donnelly', 'Darren Criss', 'Darin De Paul', 'Jensen Ackles', 'Matt Bomer']",,,Kevin Riepl,,Warner Bros. Home Entertainment,"['February 7, 2023']",83 minutes,English,,,2023-02-07,2023-02-07,United States,,,,,"['Warner Bros. Animation', 'DC Studios']",,,,,,
139,Batman: The Doom That Came to Gotham,"['Christopher Berkeley', 'Sam Liu']",Jase Ricci,"['Mike Mignola', 'Richard Pace']","['Jim Krieg', 'Sam Liu', 'Kimberly S. Moreau', 'Sam Register', 'Michael Uslan']","['David Giuntoli', 'Tati Gabrielle', 'Navid Negahban', ""Emily O'Brien""]",,,,,Warner Bros. Home Entertainment,"['March 28, 2023']",86 minutes,English,,,2023-03-28,2023-03-28,United States,,,,,"['Warner Bros. Animation', 'DC Studios']",,,,,,
140,Justice League x RWBY: Super Heroes & Huntsmen,"['Kerry Shawcross', 'Dustin Matthews (Part 2)', 'Yssa Badiola (Part 2)']",Meghan Fitzmartin,"['RWBY × Justice League', 'and', 'DC/RWBY', 'by Marguerite Bennett, Aneke, Mirka Andolfo, Soo Lee, and Meghan Hetrick']","['Kimberley S. Moreau', 'Ethan Spaulding', 'Jim Krieg']","['Natalie Alyn Lind', 'Chandler Riggs', 'Nat Wolff', 'Jamie Chung', 'David Dastmalchian']",,,David Levy,,Warner Bros. Home Entertainment,,"['Part 1 : 83 minutes', 'Part 2 : 75 minutes', 'The Complete Adventure : 148 minutes']",English,,,,,United States,,,,,"['Warner Bros. Animation', 'Rooster Teeth Productions', 'DC Studios']","['Part 1 : April 25, 2023 (United States)', 'April 25, 2023 (United States)', 'Part 2 : October 17, 2023 (United States)', 'October 17, 2023 (United States)', 'The Complete Adventure : December 5, 2023 (United States)', 'December 5, 2023 (United States)']",,,,,
141,Justice League: Warworld,Jeff Wamester,"['Jeremy Adams', 'Ernie Altbacker', 'Josie Campbell']",,"['James Krieg', 'Kimberly S. Moreau']","['Jensen Ackles', 'Darren Criss', 'Stana Katic']",,,Michael Gatt,,Warner Bros. Home Entertainment,"July 25, 2023",89 minutes,,,,2023-07-25,2023-07-25,United States,,,,,"['Warner Bros. Animation', 'DC Studios']",,,,,,
142,"Scooby-Doo! and Krypto, Too!",Cecilia Aranovich Hamilton,T. K. O'Brian,"['Scooby-Doo', 'by', 'William Hanna', ',', 'Joseph Barbera', ',', 'Iwao Takamoto', ',', 'Joe Ruby', ', &', 'Ken Spears', 'Krypto', 'by', 'Otto Binder', ',', 'Curt Swan', ', &', 'DC Comics']","['Rick Morales', 'Jim Krieg', 'Sam Register', '(executive producer)']","['Frank Welker', 'Grey Griffin', 'Matthew Lillard', 'Kate Micucci']",,Kyle Stafford,Robert J. Kral,,Warner Bros. Home Entertainment,['26 September 2023 (United States)'],76 minutes,English,,,2023-09-26,2023-09-26,United States,,,,,"['Warner Bros. Animation', 'DC Entertainment', 'DC Studios']",,,,,,
143,Justice League x RWBY: Super Heroes & Huntsmen,"['Kerry Shawcross', 'Dustin Matthews (Part 2)', 'Yssa Badiola (Part 2)']",Meghan Fitzmartin,"['RWBY × Justice League', 'and', 'DC/RWBY', 'by Marguerite Bennett, Aneke, Mirka Andolfo, Soo Lee, and Meghan Hetrick']","['Kimberley S. Moreau', 'Ethan Spaulding', 'Jim Krieg']","['Natalie Alyn Lind', 'Chandler Riggs', 'Nat Wolff', 'Jamie Chung', 'David Dastmalchian']",,,David Levy,,Warner Bros. Home Entertainment,,"['Part 1 : 83 minutes', 'Part 2 : 75 minutes', 'The Complete Adventure : 148 minutes']",English,,,,,United States,,,,,"['Warner Bros. Animation', 'Rooster Teeth Productions', 'DC Studios']","['Part 1 : April 25, 2023 (United States)', 'April 25, 2023 (United States)', 'Part 2 : October 17, 2023 (United States)', 'October 17, 2023 (United States)', 'The Complete Adventure : December 5, 2023 (United States)', 'December 5, 2023 (United States)']",,,,,
144,Merry Little Batman,Mike Roth,,"['Batman', 'by', 'Bill Finger', 'Bob Kane']",Rebecca Palatnik,"['Yonas Kibreab', 'Luke Wilson', 'James Cromwell', 'David Hornsby']",,Andy Young,Patrick Stump,,Amazon Prime Video,"['December 8, 2023']",96 minutes,English,,,2023-12-08,2023-12-08,,,,"['Morgan Evans', 'Jase Ricci']","['Morgan Evans', 'Mike Roth']","['Amazon MGM Studios', 'Warner Bros. Animation', 'DC Entertainment', 'DC Studios']",,"['United States', 'Italy', 'Finland']",,,,
145,Deathstroke: Knights & Dragons - The Movie,Sung Jin Ahn,J. M. DeMatteis,"['Deathstroke', 'by', 'Marv Wolfman', 'and', 'George Pérez']","['Sam Register', 'Sarah Schechter']","['Michael Chiklis', 'Sasha Alexander']",,,Kevin Riepl,,Warner Bros. Home Entertainment,"['August 4, 2020']",87 minutes,English,,,2020-08-04,2020-08-04,United States,,,,,"['Berlanti Productions', 'Blue Ribbon Content', 'DC Entertainment', 'Warner Bros. Animation']",,,,,,
146,Aquaman,James Wan,,"['Characters', 'from', 'DC']","['Peter Safran', 'Rob Cowan']","['Jason Momoa', 'Amber Heard', 'Willem Dafoe', 'Patrick Wilson', 'Dolph Lundgren', 'Yahya Abdul-Mateen II', 'Nicole Kidman']",Don Burgess,Kirk Morri,Rupert Gregson-Williams,,Warner Bros. Pictures,,143 minutes,English,160000000.0,1152000000.0,,,United States,$160–200 million,$1.152 billion,"['David Leslie Johnson-McGoldrick', 'Will Beall']","['Geoff Johns', 'James Wan', 'Will Beall']","['Warner Bros. Pictures', 'DC Entertainment', 'DC Films', 'RatPac Entertainment', 'The Safran Company', 'Cruel and Unusual Films', 'Mad Ghost Productions']","['November 26, 2018 ( Empire, Leicester Square )', 'December 21, 2018 (United States)']",,,,,
147,Lego DC Comics Super Heroes: Justice League vs. Bizarro League,Brandon Vietti,Michael Jelenic,,Brandon Vietti,"['Diedrich Bader', 'Troy Baker', 'Nolan North', 'Khary Payton', 'Kari Wahlgren']",,Craig Paulsen,Tim Kelly,,Warner Home Video,"['February 10, 2015']",49 minutes,English,,,2015-02-10,2015-02-10,United States,,,,,"['Warner Bros. Animation', 'Lego Group', 'DC Comics']",,,,,,
148,Lego DC Comics Super Heroes: Justice League – Attack of the Legion of Doom,Rick Morales,,,,"['Troy Baker', 'Nolan North', 'Khary Payton']",,,Tim Kelly,,Warner Home Video,"['August 25, 2015']",72 minutes,English,,,2015-08-25,2015-08-25,United States,,,Jim Krieg,,"['Warner Bros. Animation', 'The Lego Group', 'DC Comics']",,,,,,
149,Lego DC Comics Super Heroes: Justice League – Cosmic Clash,Rick Morales,,DC Comics,Brandon Vietti,"['Troy Baker', 'Grey Griffin', 'Phil LaMarr', 'Nolan North', 'James Arnold Taylor']",,,Tim Kelly,,Warner Home Video,,78 minutes,English,,,,,United States,,,Jim Krieg,,"['Warner Bros. Animation', 'LEGO', 'DC Entertainment']","['February 9, 2016 (Digital)', 'March 1, 2016 (Blu-ray and DVD)']",,,,,
150,Lego DC Comics Super Heroes: Justice League – Gotham City Breakout,"['Matt Peters', 'Melchior Zwyer']",,,,"['Troy Baker', 'Sarah Hyland', 'Nolan North', 'Khary Payton']",,,Tim Kelly,,Warner Home Video,,78 minutes,English,,,,,United States,,,James Krieg,,"['Warner Bros. Animation', 'LEGO', 'DC Entertainment']","['June 21, 2016 (Digital)', 'July 12, 2016 (DVD and Blu-ray)']",,,,,
151,The Lego Batman Movie,Chris McKay,,"['Lego Construction Toys', 'Characters from DC']","['Dan Lin', 'Phil Lord Christopher Miller', 'Roy Lee']","['Will Arnett', 'Zach Galifianakis', 'Michael Cera', 'Rosario Dawson', 'Ralph Fiennes']",,"['David Burrows', 'Matt Villa', 'John Venzon']",Lorne Balfe,,Warner Bros. Pictures,,104 minutes,English,80000000.0,312000000.0,,,,$80 million,$312 million,"['Seth Grahame-Smith', 'Chris McKenna', 'Erik Sommers', 'Jared Stern', 'John Whittington']",Seth Grahame-Smith,"['Warner Animation Group', 'DC Entertainment', 'RatPac Entertainment', 'Lego System A/S', 'Lin Pictures', 'Lord Miller Productions', 'Vertigo Entertainment']","['January 29, 2017 ( Dublin )', 'February 9, 2017 (Denmark)', 'February 10, 2017 (United States)', 'March 30, 2017 (Australia)']","['Australia', 'Denmark', 'United States']",,,,
152,The Lego Movie,"['Phil Lord', 'Christopher Miller']",,Lego Construction Toys,"['Dan Lin', 'Roy Lee']","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett', 'Nick Offerman', 'Alison Brie', 'Charlie Day', 'Liam Neeson', 'Morgan Freeman']",Pablo Plaisted (live-action sequences),"['Chris McKay', 'David Burrows']",Mark Mothersbaugh,,"['Warner Bros. Pictures (Worldwide)', 'Roadshow Films (Australia)']",,101 minutes,English,60000000.0,468100000.0,,,,$60–65 million,$468.1 million,"['Phil Lord', 'Christopher Miller']","['Dan Hageman', 'Kevin Hageman', 'Phil Lord', 'Christopher Miller']","['Warner Animation Group', 'Village Roadshow Pictures', 'Lego System A/S', 'Vertigo Entertainment', 'Lin Pictures']","['February 1, 2014 ( Regency Village Theater )', 'February 6, 2014 (Denmark)', 'February 7, 2014 (United States)', 'April 3, 2014 (Australia)']","['Australia', 'Denmark', 'United States']",,,,
153,Lego DC Super Hero Girls: Brain Drain,Todd Grimes,Jeremy Adams,,"['Rick Morales', 'Sam Register', 'Jill Wilfert', 'Robert Fewkes']","['Romi Dames', 'Anais Fairweather', 'Grey Griffin', 'Ashlyn Selich']",,,Michael A. Levine,,Warner Bros. Home Entertainment,,75 minutes,English,,,,,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation', 'Mattel', 'The Lego Group']","['July 25, 2017 (digital)', 'August 8, 2017 (DVD)']",,,,,
154,Lego DC Comics Super Heroes: The Flash,Ethan Spaulding,"['Jim Krieg', 'Jeremy Adams']","['The Flash', 'by', 'Robert Kanigher', 'and', 'Carmine Infantino']",,"['James Arnold Taylor', 'Dwight Schultz', 'Troy Baker', 'Nolan North']",,Chris Mertens,Tim Kelly,,Warner Bros. Home Entertainment,,78 minutes,English,,,,,United States,,,,,"['The Lego Group', 'DC Entertainment', 'Warner Bros. Animation']","['February 13, 2018 (Digital)', 'March 13, 2018 (DVD and Blu-ray)']",,,,,
155,Lego DC Super Hero Girls: Super-Villain High,Elsa Garagarza,Jeremy Adams,,"['Rick Morales', 'Sam Register', 'Jill Wilfert', 'Robert Fewkes']","['Romi Dames', 'Anais Fairweather', 'Grey Griffin', 'Ashlyn Selich']",,Rob Ehenrich,Robert J. Kral,,Warner Bros. Home Entertainment,,78 minutes,English,,,,,United States,,,,,"['DC Entertainment', 'Warner Bros. Animation', 'The Lego Group']","['May 1, 2018 (digital)', 'May 15, 2018 (DVD)']",,,,,
156,Lego DC Comics Super Heroes: Aquaman – Rage of Atlantis,Matt Peters,"['Jim Krieg', 'Jeremy Adams']","['Aquaman', 'by', 'Mort Weisinger', 'and', 'Paul Norris']",,"['Dee Bradley Baker', 'Troy Baker', 'Grey Griffin', 'Nolan North']",,,Tim Kelly,,Warner Bros. Home Entertainment,,77 minutes,English,,,,,,,,,,"['The Lego Group', 'DC Entertainment', 'Warner Bros. Animation']","['July 22, 2018 ( San Diego Comic-Con International )', 'July 31, 2018 (Digital, DVD and Blu-ray)']","['United States', 'Denmark']",,,,
157,Lego DC Batman: Family Matters,Matt Peters,Jeremy Adams,"['Batman', 'by', 'Bob Kane', 'and', 'Bill Finger']","['Rick Morales', 'Jim Krieg (co-producer)', 'Michael Uslan', 'Sam Register', 'Jason Cosler & Jill Wilfert (executive producer)']","['Troy Baker', 'Will Friedle', 'Jason Spisak', 'Alyson Stoner']",,,Tim Kelly,,Warner Bros. Home Entertainment,,72 minutes,English,,,,,United States,,,,,"['The Lego Group', 'DC Entertainment', 'Warner Bros. Animation']","['July 21, 2019 ( San Diego Comic-Con International )', 'August 20, 2019 ( Digital , DVD and Blu-ray )']",,,,,
158,Lego DC Shazam!: Magic and Monsters,Matt Peters,Jeremy Adams,"['Shazam', 'by', 'Bill Parker', 'and', 'C. C. Beck']",,"['Sean Astin', 'Troy Baker', 'Grey Griffin', 'Nolan North']",,,Tim Kelly,,Warner Bros. Home Entertainment,,81 minutes,English,,,,,United States,,,,,"['The Lego Group', 'DC Entertainment', 'Warner Bros. Animation']","['April 28, 2020 (Digital)', 'June 16, 2020 (DVD and Blu-ray )']",,,,,
159,Superman,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jack Mercer', 'Jackson Beck']",,,"['Sammy Timberg', 'Winston Sharples', '(uncredited)', 'Lou Fleischer', '(uncredited)']",Fleischer Studios,Paramount Pictures,"September 26, 1941",10 minutes (one reel),English,,,1941-09-26,1941-09-26,,,,,"['Seymour Kneitel', 'Isadore Sparber']",,,,Technicolor,,,"['Steve Muffatti', 'Frank Endres']"
160,Superman,"['Dave Fleischer', 'Seymour Kneitel', 'Isadore Sparber', 'Dan Gordon']",,"['Jerry Siegel', 'Joe Shuster']","['Max Fleischer', 'Sam Buchwald', 'Dan Gordon', 'Seymour Kneitel', 'I. Sparber']","['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jack Mercer', 'Jackson Beck']",,,"['Sammy Timberg', 'Winston Sharples', '(uncredited)', 'Lou Fleischer', '(uncredited)']",,Paramount Pictures,,10 minutes (one reel),English,,,,,,,,,"['Seymour Kneitel', 'I. Sparber', 'Bill Turner', 'Tedd Pierce', 'Dan Gordon', 'Carl Meyer', 'Jay Morton', 'Robert Little']","['Fleischer Studios', '(1941–1942)', 'Famous Studios', '(1942–1943)']","['September 26, 1941 –', 'July 30, 1943']",,Technicolor,,,"['Steve Muffatti', 'Frank Endres', 'George Germanetti', 'Myron Waldman', 'Willard Bowsky', 'Reuben Grossman', 'Orestes Calpini', 'Graham Place', 'Thomas Moore', 'Arnold Gillespie', 'Otto Feuer', 'Jimmy Davis', 'Nicholas Tafuri', 'William Henning', 'David Tendlar', 'H.C. Ellison']"
161,The Mechanical Monsters,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Jackson Beck']",,,"['Sammy Timberg', 'Winston Sharples', '(uncredited)', 'Lou Fleischer', '(uncredited)']",Fleischer Studios,Paramount Pictures,"November 28, 1941",9 minutes (one reel),English,,,1941-11-28,1941-11-28,,,,,"['Seymour Kneitel', 'Isidore Sparber']",,,,Technicolor,,,"['Steve Muffati', 'George Germanetti']"
162,Billion Dollar Limited,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Jackson Beck']",,,"['Sammy Timberg', 'Winston Sharples', '(uncredited)', 'Lou Fleischer', '(uncredited)']",Fleischer Studios,Paramount Pictures,"January 9, 1942",9 minutes (one reel),English,,,1942-01-09,1942-01-09,,,,,"['Seymour Kneitel', 'Isidore Sparber']",,,,Technicolor,,,"['Frank Endres', 'Myron Waldman']"
163,The Arctic Giant,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Jackson Beck', 'Julian Noa']",,,"['Sammy Timberg', 'Winston Sharples', '(uncredited)', 'Lou Fleischer', '(uncredited)']",Fleischer Studios,Paramount Pictures,"February 27, 1942",9 minutes (one reel),English,,,1942-02-27,1942-02-27,,,,,"['Bill Turner', 'Tedd Pierce']",,,,Technicolor,,,"['Willard Bowsky', 'Reuben Grossman']"
164,The Bulleteers,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jackson Beck']",,,Sammy Timberg,Fleischer Studios,Paramount Pictures,"March 27, 1942",8 minutes (one reel),English,,,1942-03-27,1942-03-27,,,,,"['Bill Turner', 'Carl Meyer']",,,,Technicolor,,,"['Orestes Calpini', 'Graham Place']"
165,Magnetic Telescope,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jackson Beck']",,,Sammy Timberg,Fleischer Studios,Paramount Pictures,"April 24, 1942",8 minutes (one reel),English,,,1942-04-24,1942-04-24,,,,,"['Dan Gordon', 'Carl Meyer']",,,,Technicolor,,,"['Thomas Moore', 'Myron Waldman']"
166,Electric Earthquake,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jackson Beck']",,,Sammy Timberg,Fleischer Studios,Paramount Pictures,"May 15, 1942",8 minutes (one reel),English,,,1942-05-15,1942-05-15,,,,,"['Seymour Kneitel', 'Isidore Sparber']",,,,Technicolor,,,"['Steve Muffati', 'Arnold Gillespie']"
167,Volcano,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Jackson Beck']",,,Sammy Timberg,Fleischer Studios,Paramount Pictures,"July 10, 1942",8 minutes (one reel),English,,,1942-07-10,1942-07-10,,,,,"['Bill Turner', 'Carl Meyer']",,,,Technicolor,,,"['Willard Bowsky', 'Otto Feuer']"
168,Terror on the Midway,Dave Fleischer,,"['Jerry Siegel', 'Joe Shuster']",Max Fleischer,"['Bud Collyer', 'Joan Alexander', 'Jack Mercer', 'Jackson Beck']",,,"['Sammy Timberg', 'Winston Sharples']",Fleischer Studios,Paramount Pictures,"August 30, 1942",9 minutes (one reel),English,,,1942-08-30,1942-08-30,,,,,"['Dan Gordon', 'Jay Morton']",,,,Technicolor,,,"['Orestes Calpini', 'Jimmy Davis']"
169,Japoteurs,Seymour Kneitel,,"['Jerry Siegel', 'Joe Shuster']",Sam Buchwald,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jack Mercer']",,,Sammy Timberg,Famous Studios,Paramount Pictures,"September 18, 1942",9 minutes (one reel),English,,,1942-09-18,1942-09-18,,,,,"['Bill Turner', 'Carl Meyer']",,,,Technicolor,,,"['Myron Waldman', 'Nicholas Tafuri']"
170,Showdown,Isidore Sparber,,"['Jerry Siegel', 'Joe Shuster']",Sam Buchwald,"['Bud Collyer', 'Joan Alexander', 'Julian Noa']",,,Samuel Timberg,Famous Studios,Paramount Pictures,"October 16, 1942",9 minutes (one reel),English,,,1942-10-16,1942-10-16,,,,,Jay Morton,,,,Technicolor,,,"['Steve Muffati', 'Graham Place']"
171,Eleventh Hour,Dan Gordon,,"['Jerry Siegel', 'Joe Shuster']","['Sam Buchwald', 'Dan Gordon', 'Seymour Kneitel', 'Isidore Sparber']","['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jack Mercer']",,,Sammy Timberg,Famous Studios,Paramount Pictures,"November 20, 1942",8 minutes (one reel),English,,,1942-11-20,1942-11-20,,,,,"['Carl Meyer', 'Bill Turner']",,,,Technicolor,,,"['Willard Bowsky', 'William Henning']"
172,"Destruction, Inc.",Isadore Sparber,,"['Jerry Siegel', 'Joe Shuster']","['Sam Buchwald', 'Dan Gordon', 'Seymour Kneitel', 'Isadore Sparber']","['Joan Alexander', 'Jackson Beck', 'Bud Collyer', 'Jack Mercer', 'Julian Noa']",,,"['Winston Sharples', 'Sammy Timberg']",Famous Studios,Paramount Pictures,"December 25, 1942",9 minutes (one reel),English,,,1942-12-25,1942-12-25,,,,,Jay Morton,,,,Technicolor,,,"['Thomas Moore', 'David Tendlar']"
173,The Mummy Strikes,Isadore Sparber,,"['Jerry Siegel', 'Joe Shuster']",Sam Buchwald,"['Joan Alexander', 'Jackson Beck', 'Bud Collyer', 'Sam Parker']",,,"['Winston Sharples', 'Sammy Timberg']",Famous Studios,Paramount Pictures,"February 19, 1943",8 minutes (one reel),English,,,1943-02-19,1943-02-19,,,,,Jay Morton,,,,Technicolor,,,"['Myron Waldman', 'Graham Place']"
174,Jungle Drums,Dan Gordon,,"['Jerry Siegel', 'Joe Shuster']",Sam Buchwald,"['Joan Alexander', 'Jackson Beck', 'Bud Collyer', 'Julian Noa']",,,"['Winston Sharples', 'Sammy Timberg']",Famous Studios,Paramount Pictures,"March 26, 1943",8 minutes (one reel),English,,,1943-03-26,1943-03-26,,,,,"['Jay Morton', 'Robert Little']",,,,Technicolor,,,"['Orestes Calpini', 'H.C. Ellison']"
175,The Underground World,Seymour Kneitel,,"['Jerry Siegel', 'Joe Shuster']",Sam Buchwald,"['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jackson Beck']",,,Sammy Timberg,Famous Studios,Paramount Pictures,"June 18, 1943",8 minutes (one reel),English,,,1943-06-18,1943-06-18,,,,,Jay Morton,,,,Technicolor,,,"['Reuben Grossman', 'Nicholas Tafuri']"
176,Secret Agent,Seymour Kneitel,,"['Jerry Siegel', 'Joe Shuster']","['Sam Buchwald', 'Dan Gordon', 'Seymour Kneitel', 'Isadore Sparber']","['Bud Collyer', 'Joan Alexander', 'Julian Noa', 'Jackson Beck', 'Jack Mercer']",,,Sammy Timberg,Famous Studios,Paramount Pictures,"July 30, 1943",8 minutes (one reel),English,,,1943-07-30,1943-07-30,,,,,Carl Meyer,,,,Technicolor,,,"['Otto Feuer', 'Steve Muffati']"
177,Teen Titans Go! To the Movies,"['Peter Rida Michail', 'Aaron Horvath']","['Michael Jelenic', 'Aaron Horvath']","['Characters', 'from', 'DC']","['Aaron Horvath', 'Michael Jelenic', 'Peggy Regan', 'Peter Rida Michail', 'Will Arnett']","['Greg Cipes', 'Scott Menville', 'Khary Payton', 'Tara Strong', 'Hynden Walch', 'Will Arnett', 'Kristen Bell']",,Nick Kenway,Jared Faber,,Warner Bros. Pictures,,['84 minutes'],English,10000000.0,52100000.0,,,United States,$10 million,$52.1 million,,,"['Warner Bros. Animation', 'DC Entertainment']","['July 22, 2018 ( BFI Southbank )', 'July 27, 2018 (United States)']",,,,,
178,Chase Me,Curt Geda,"['Paul Dini', 'Alan Burnett']","['Bob Kane', 'Bill Finger']","['Alan Burnett', 'Margaret M. Dean', 'Curt Geda', 'Benjamin Melniker', 'Michael Uslan']",,,,Lolita Ritmanis,,Warner Home Video,"['October 21, 2003']",6 minutes,none ( Silent film ),,,2003-10-21,2003-10-21,,,,,,"['DC Comics', 'Warner Bros. Animation']",,,,,,
179,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
180,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
